feature,F,p_value,significant
height,2301.7039347952236,0.0,True
width,1970.0506152865157,0.0,True
b_mean,853.1254214664802,0.0,True
g_mean,469.8392233875881,0.0,True
r_mean,441.10305818297275,6.8713658e-316,True
b_std,430.4945436978384,1.856090926465965e-309,True
contrast,428.9679980937977,1.57749091464183e-308,True
brightness,428.36069899235775,3.697993213059277e-308,True
saturation,393.74659585733235,8.276939172879094e-287,True
g_std,384.4668097494455,5.378778345057241e-281,True
r_std,224.58328621887588,2.5589911339394583e-174,True
